Post_ID,Post_Content,Post_Date,Likes,Shares,Comments,Sentiment
91f9e218-6541-4854-8782-0ef2884f73a6,Think interesting would catch town my. Everything peace style half. Certainly ground expect make road whose. #BrandXCampaign,2025-01-14 02:18:08,4041,227,64,Positive
603be840-a2e1-467b-8d3d-6ae1269c9b99,Usually morning red official. Only example wrong provide car like make. #ProductALaunch,2025-01-13 23:16:28,933,281,102,Positive
5d42dad5-23e0-4354-a10f-9e8322d1f55a,Western sort alone former southern sing since ok. Baby effort law. #ProductALaunch,2025-01-02 06:45:42,1824,467,110,Positive
a7c82823-38f1-468e-ab34-069a137df676,Long debate hair. Six impact soon partner great color bar. Without score medical act attention. #EventYAnnouncement,2025-01-06 20:32:03,486,429,154,Negative
f29320c6-0e21-41e9-8741-e81ff4361536,Trial citizen quickly PM. Culture American have big contain. Air wife charge bank within. #BrandXCampaign,2025-01-14 12:29:30,1720,472,77,Positive
74a789f5-bdee-4a4d-b271-13b33c402e87,Energy add these necessary single. Left machine per available them American. #EventYAnnouncement,2025-01-03 12:25:29,3236,735,37,Neutral
90251749-f001-484a-ad3c-8febe90c0b84,Same watch water score career level. Thus than important. Suddenly help world. #EventYAnnouncement,2025-01-07 06:36:39,44,715,119,Neutral
7d4b932b-6205-42fe-b95a-6c8370c559c9,Party near follow mouth experience prove. Strategy available visit big apply majority thousand. #ProductALaunch,2025-01-02 16:44:42,4037,590,140,Positive
30010d20-54cf-4ca8-85b8-b9a7e7bea4c6,Development other force meet. Recently mother still after. Sea his floor. #BrandXCampaign,2025-01-13 02:25:12,1092,763,44,Positive
b08ef6d2-2cb0-4004-9074-ee8edff25bbc,Concern inside threat business. Example door speech usually talk sound believe policy. Age food sure race wonder pick. #BrandXCampaign,2025-01-08 01:51:36,2089,425,183,Negative
25770077-3126-4a88-85d6-77fda5f83027,Section until teacher his. Art third miss offer herself year. #EventYAnnouncement,2025-01-06 19:14:13,1186,587,128,Neutral
e4cd9a53-d392-4cca-903e-95ab30ba1008,Dark item stock. Lose story available option remain note financial hospital. #BrandXCampaign,2025-01-13 03:43:22,4472,329,127,Neutral
a2e43ebf-c801-42a0-88df-6f7d30ce3211,"Who sing drive even book. According left rather sit pay.
Blood sure less inside south stage. Subject home herself. #EventYAnnouncement",2025-01-12 18:13:34,451,779,9,Negative
7ff3f1a2-8db8-4057-96a3-aa6788841258,Into memory information example bring. #BrandXCampaign,2025-01-03 23:41:01,527,811,112,Neutral
3d859a24-96aa-4a1a-9c66-a093b5db3bee,Example fly home opportunity want. Offer than imagine career article store yard. #BrandXCampaign,2025-01-05 11:51:30,2171,856,89,Negative
4e3066ec-b56f-446c-be57-b23b8b9d37f3,Respond west range fund. Someone develop response million president market. #BrandXCampaign,2025-01-03 02:20:37,1532,202,181,Positive
ece89b38-5ad7-4e01-a7a6-b7316ac4cfe5,Open country deal and. Service full form forget accept. Cause market fund pressure. #EventYAnnouncement,2025-01-12 10:14:28,2309,76,133,Neutral
37af8586-43ad-47de-98be-43af5b4b46a2,Material live ability factor left teacher goal. Staff yeah manage right. #ProductALaunch,2025-01-08 11:47:46,3779,426,2,Positive
8fc0ada0-5c1b-45a2-8c81-54d5d4e38aaf,Speak over doctor discuss. Dog sure yeah feel measure two something benefit. Site us fast war. #ProductALaunch,2025-01-12 01:32:12,1434,534,23,Negative
b4857f2a-c84c-479f-909c-e73d2d7f1470,Space interest conference set. Performance accept around top fly ago. #ProductALaunch,2025-01-07 10:34:50,1765,204,24,Neutral
a37ed5c2-f514-4e93-b9d3-7fdd4c6210b9,Writer before back student. Even entire family people carry truth rate their. #BrandXCampaign,2025-01-05 21:59:38,1789,497,84,Positive
f0bf60e6-326c-457b-ba26-d25e15771ebc,Paper television expert tend throw. Happy dream specific shake. #EventYAnnouncement,2025-01-04 22:09:59,4449,642,12,Positive
2302b9f0-4504-4859-9677-1a8153123c94,Her surface billion commercial image feeling family. Thus thought identify rate seek must. #ProductALaunch,2025-01-07 05:02:27,776,118,41,Negative
1bd3c94e-e595-4534-9a60-eb436d31dfa6,Return arrive good not gas talk. Effect cold near from able reason first. #BrandXCampaign,2025-01-04 05:15:43,1436,57,197,Positive
16d743bf-9c74-4bb9-b2fb-8225016ef5b1,Cover center poor. Table cell may democratic. Official measure natural level man about. #BrandXCampaign,2025-01-10 13:54:12,2130,842,121,Positive
deec9747-4dda-4b5b-b6b8-db1c6f292911,Yard box allow performance. #BrandXCampaign,2025-01-04 12:57:47,440,398,180,Negative
668c9c3b-fece-4d87-9bac-41f88dffc660,Notice ability fine true. Sit debate father song rich. Address opportunity owner explain policy side. #ProductALaunch,2025-01-13 14:27:16,31,889,18,Positive
f368ca4b-b74f-462f-b131-105c83bf605e,"Than cell section list bad. Food morning cell the market.
Executive blood break mind eat. Use including alone natural. #EventYAnnouncement",2025-01-12 08:30:27,3423,248,188,Neutral
cdfae882-91dd-47fb-b86b-250800fb7f3a,Charge public career important. Father design scientist wear lead. Republican decade fly idea it. #ProductALaunch,2025-01-10 22:04:01,411,609,61,Positive
da811ebd-f22c-410b-aeb6-4b55b7c2575d,Back safe add trade support. #EventYAnnouncement,2025-01-15 15:54:02,1905,970,136,Neutral
4475a01b-cbe9-4ca7-9e0e-fce5a74e683d,Paper old get activity too film economic. Something commercial shoulder case. Why kid answer result method cause. #EventYAnnouncement,2025-01-01 16:17:35,4176,627,158,Neutral
328ac777-e23f-4b34-9264-f2f0e3111166,Official science five season others avoid degree. Agency pick maybe score none. Challenge then tough. Whether his true. #BrandXCampaign,2025-01-01 04:36:49,4492,78,184,Positive
e94d50a0-e671-4a04-9097-0d7619ca44a7,Nearly later act explain start. Put without response risk the difference occur. Agreement teach home cost. #EventYAnnouncement,2025-01-02 23:58:48,2431,239,185,Positive
02deb010-94c3-4dba-9912-d54f67838198,Certain least wife else finish. Far water work she cold pressure. #EventYAnnouncement,2025-01-08 04:22:44,2545,157,23,Positive
f97ee285-5ea6-48dd-8ec1-a211e7d554ad,That total between step peace yard simple. Tree from part. Truth relate we site. #ProductALaunch,2025-01-03 04:56:47,2290,276,198,Neutral
5df830a7-b48b-4b5b-a019-b5b4d72a8691,Difference tend director structure recently. Us several share side case. #EventYAnnouncement,2025-01-06 00:43:01,4655,584,188,Neutral
d1362936-412e-4d4c-a31c-3df4314a361d,Me fish particular step although difference. Senior short interest director. #EventYAnnouncement,2025-01-01 20:07:57,249,810,31,Negative
f757ba83-5fc0-4f8c-941f-74cb6b159005,Almost across fear break for admit seat stay. Street money position. Teacher attention significant tree sign keep. #BrandXCampaign,2025-01-09 13:54:36,1859,678,16,Negative
4c5cefb9-cd82-489f-8438-6d3729126e04,Prevent offer bad last decade. Agreement strong nation foreign win. #BrandXCampaign,2025-01-08 12:31:04,2530,298,32,Positive
28375c25-5ab7-4623-90ff-fec8f060a23c,Hand all throw. Out onto clearly. Member religious none there agent guess. #EventYAnnouncement,2025-01-04 08:38:26,3258,588,125,Neutral
698bb724-6f73-4133-a2c5-067fa2e41ba6,Partner wrong discuss soon. High sometimes difference fight strategy. #ProductALaunch,2025-01-07 22:00:17,1539,931,163,Negative
7efc2076-10f7-4fcb-9b08-b3fac2b327ce,White specific degree shoulder itself picture. Reveal buy talk class. #ProductALaunch,2025-01-04 12:41:20,3620,346,144,Negative
006dfc69-a6e6-4904-a4cd-0c8bc107cd51,All important air. Institution join fire fly. Only road something medical morning marriage. #EventYAnnouncement,2025-01-11 21:33:29,3530,583,154,Positive
42201f07-694e-4e27-b6ec-41185fbbe70d,Staff lose finish. Impact third return see cut capital give or. #BrandXCampaign,2025-01-05 09:20:43,2508,702,195,Neutral
322bb886-d6b6-4cbe-99bf-3855bd43b68d,Knowledge professor history certain budget. Design by miss onto. Step former color everyone really with. #ProductALaunch,2025-01-09 07:36:28,2559,549,169,Negative
a6162ad8-98d7-4630-ad33-5bbf7350320d,Some kind cell course major sister. Itself list its avoid way more top one. #ProductALaunch,2025-01-05 07:21:15,4337,169,143,Negative
95135fd3-d2ad-45ca-9c57-c9f414ed2577,Collection everybody often quite detail college out. Series who must visit open develop radio. #EventYAnnouncement,2025-01-10 13:08:13,2125,220,54,Neutral
a4f0d988-8077-43aa-a7b7-95d2b3871947,May yourself on. Language risk society place process. Middle budget executive itself back discussion. #ProductALaunch,2025-01-02 07:16:46,4528,175,103,Positive
3bcdff47-9085-4c9d-8eee-bb5ce001d9fa,Same she option coach bed certainly. Player me year between section woman market change. Many citizen parent start. #ProductALaunch,2025-01-12 02:01:07,3384,831,131,Neutral
887a35b2-5a70-4e29-a6e1-36017deb16fb,"Role high boy power arrive catch. Forward happen finally.
Herself situation eight those. Evidence capital shake. #ProductALaunch",2025-01-05 11:00:08,1538,594,56,Negative
39d0a5f6-4a2c-4ec1-9fd6-e2fa3ecd14f0,"Else stock when investment free local look. Out prevent report because.
Somebody save action natural. Must several eye. #ProductALaunch",2025-01-08 07:00:36,1031,180,141,Neutral
105f1ef2-c807-4955-bfec-50fa82986425,Computer age fund keep prevent occur. Pick north nor large in face common. Wait American central value pressure. #ProductALaunch,2025-01-13 11:03:36,2312,254,134,Negative
31b277c7-a271-48fc-ac96-6f9e14e86056,Check there moment plant smile chance support. Side stand take your trial step bag. #BrandXCampaign,2025-01-03 14:23:43,3969,480,11,Positive
67392b21-bffc-46b1-adff-6ee8a6eda96d,Tough memory win do shake item. Imagine mother deep kid section. Born I crime art. #BrandXCampaign,2025-01-10 06:44:47,503,740,126,Negative
dc35881b-09fc-4fa4-bad0-3b0dc0fd3502,"Take pay central push. Southern include gun arm water.
Well why human space idea according. #EventYAnnouncement",2025-01-09 20:42:59,3127,657,71,Neutral
5c06c86d-7bce-482f-9367-96a143aa1aa9,Others education now gas. Process what threat glass. #EventYAnnouncement,2025-01-07 08:00:47,2759,776,52,Negative
cefc1937-efe9-48ed-9eac-e04d97210bc2,Year least kind poor role page stock. College stuff discover mother growth animal. #ProductALaunch,2025-01-12 07:41:10,2107,205,30,Neutral
0b4fc111-aef0-4a0d-a374-7e0249ae5d4b,Smile make report. Scene be career list son. Use road seek everyone. #ProductALaunch,2025-01-01 00:10:24,1926,211,38,Positive
60d31c83-0199-4bd9-9935-0807c8bc20f0,Than perform little recently drop. Evening movie development form. #ProductALaunch,2025-01-08 10:13:00,533,500,147,Negative
d5b383d8-48c4-4783-800b-94b90649ed85,Short admit growth each one. Congress director opportunity sit point door fine. Perform nation rest rule. #EventYAnnouncement,2025-01-02 14:28:53,3804,553,148,Negative
41211274-e955-4332-953f-7dfaddc364d4,Bill first official American shake executive. Across or boy compare bag black. #ProductALaunch,2025-01-06 11:37:38,2550,379,172,Negative
4190a2c4-cf9f-41f4-8279-7237e32c66f1,Respond manage remain idea article. Member visit on five. #BrandXCampaign,2025-01-09 18:10:59,4114,693,136,Negative
20f24a9a-8906-44b6-b67b-08ce84773c86,Staff recent goal modern him. #ProductALaunch,2025-01-08 12:36:04,2215,368,23,Negative
0d9a9e1f-f6a4-47ae-9dca-d984e72a934c,Never recent prove control claim cost. Science discussion bed always turn. Suddenly test laugh nor federal include. #ProductALaunch,2025-01-06 14:03:44,3379,657,164,Neutral
629a2c7d-f75b-444c-963f-5132ce7dedb5,Very group onto garden simply issue. Situation guess commercial price here. #EventYAnnouncement,2025-01-14 13:15:35,740,130,51,Positive
3c8ad535-abbe-4125-80f4-7d2c6d7d264d,Natural imagine leader name also everyone with. #EventYAnnouncement,2025-01-15 21:54:58,321,356,127,Positive
e8771b95-3584-449d-9c94-0861db9fa6f6,Watch step sense admit care seat heart. Religious military too what air common include. Camera bag without. #EventYAnnouncement,2025-01-04 19:16:16,519,285,126,Neutral
cce58079-a002-4c81-9421-b23ca9e14c36,"Have charge program. Free already word much. Likely right build serious.
Step specific address risk director. #EventYAnnouncement",2025-01-11 10:21:18,378,913,26,Positive
77ea2502-560f-4723-a3d2-8921d735a6cb,Cover available wind wife walk step way mean. Employee attorney result spring. #EventYAnnouncement,2025-01-10 05:20:38,4162,558,3,Negative
c130a9d4-e144-473e-b10a-da5aa72d242b,Arrive population once blue far truth mind. #EventYAnnouncement,2025-01-15 09:46:47,2749,179,82,Positive
cf4ccc3a-802c-4cd4-bac7-623c7a642340,Against fight down effect particular. Democrat rich brother improve discuss. Money size list official success simply. #EventYAnnouncement,2025-01-08 18:42:33,4865,842,51,Neutral
81d74fca-3f55-4955-a402-d6a652ea1677,His while debate. Source grow fast here long. #EventYAnnouncement,2025-01-05 18:36:19,174,763,135,Negative
43d99611-36a4-4c1a-9619-9690117cf464,Couple country leader. Particular break address space decision. Partner ask focus cell house table into institution. #BrandXCampaign,2025-01-14 03:49:13,3372,535,90,Neutral
